Name,Description,Alg,Category,Notes
FA,"[U : [R' E R , U2]]",U R' E R U2 R' E' R U,U-Swap,
FB,"[R' E R , U']",R' E R U' R' E' R U,U-Swap,
FD,"[U2 : [R' E R , U]]",U2 R' E R U R' E' R U,U-Swap,
FE,"[S : [R' E R , U']]",S R' E R U' R' E' R U S',U-Swap,
FG,"[L , U S' U']",L U S' U' L' U S U',S-Insert,
FH,"[M' U L : [S' , L2']]",M' U L S' L2' S L U' M,4-Mover,
FJ,"[E , R U' R']",E R U' R' E' R U R',E-Swap,
FK,"[M2' : [U' L' U , M]]",M2' U' L' U M U' L U M,M-Swap,
FM,"[M L' U : [M' , U2']]",M L' U M' U2' M U L M',4-Mover,
FN,"[r U R' : [E , R2]]",r U R' E R2 E' R' U' r',4-Mover,
FO,"[M' U R' : [E , R2]]",M' U R' E R2 E' R' U' M,4-Mover,
FP,"[U E R' : [S , R2]]",U E R' S R2 S' R' E' U',4-Mover,
FQ,"[U' L' U , M']",U' L' U M' U' L U M,M-Swap,
FR,"[E' , L U L']",E' L U L' E L U' L',E-Swap,
FS,"[U' r' : [R U R' , E]]",U' r' R U R' E R U' R' E' r U,E-Swap,
FT,"[R2' : [E , R U' R']]",R2' E R U' R' E' R U R,E-Swap,
FU,"[U R' F2 : [R S R' , F]]",U R' F2 R S R' F R S' R' F R U',F-Swap,
FV,"[U' E' R : [E' , R2']]",U' E' R E' R2' E R E U,4-Mover,
FW,"[M : [U' L' U , M2']]",M U' L' U M2' U' L U M,M-Swap,
FX,"[U E L : [E' , L2']]",U E L E' L2' E L E' U',4-Mover,
GA,"[U' : [L' E' L , U2']]",U' L' E' L U2' L' E L U',U-Swap,
GB,"[U2' : [L' E' L , U']]",U2' L' E' L U' L' E L U',U-Swap,
GD,"[L' E' L , U]",L' E' L U L' E L U',U-Swap,
GE,"[l' U L : [S' , L2']]",l' U L S' L2' S L U' l,4-Mover,
GF,"[U S' U' , L]",U S' U' L U S U' L',S-Insert,
GH,"[U S U' , L']",U S U' L' U S' U' L,S-Insert,
GJ,"[L' E' : [L U L' , E']]",L' E' L U L' E' L U' L' E2 L,E-Swap,
GK,"[U : [L F L' , S]]",U L F L' S L F' L' S' U',S-Swap,
GL,"[L f' L' : [S , L2]]",L f' L' S L2 S' L' f L',4-Mover,
GM,"[L F' L : [S' , L2']]",L F' L S' L2' S L F L',4-Mover,
GN,"[L F' : [E , L2']]",L F' E L2' E' L2 F L',4-Mover,
GO,"[R' F R' : [S' , R2]]",R' F R' S' R2 S R' F' R,4-Mover,
GP,"[M' U' L' : [E' , L2]]",M' U' L' E' L2 E L' U M,4-Mover,
GQ,"[L' : [U' L' U , M']]",L' U' L' U M' U' L U M L,M-Swap,
GR,"[S' U' R' : [E' , R2]]",S' U' R' E' R2 E R' U S,4-Mover,
GS,"[U l : [L' U' L , E]]",U l L' U' L E L' U L E' l' U',E-Swap,
GT,"[L E : [L' U L , E]]",L E L' U L E L' U' L E2 L',E-Swap,
GU,"[L F' : [L2' , E']]",L F' L2' E' L2 E F L',4-Mover,
GV,"[L' F' L , S]",L' F' L S L' F L S',S-Swap,
GW,"[U : [S' , L B' L']]",U S' L B' L' S L B L' U',S-Swap,
HA,"[U : [R E' R' , U2]]",U R E' R' U2 R E R' U,U-Swap,
HB,"[R E' R' , U']",R E' R' U' R E R' U,U-Swap,
HD,"[U2 : [R E' R' , U]]",U2 R E' R' U R E R' U,U-Swap,
HE,"[S : [R E' R' , U']]",S R E' R' U' R E R' U S',U-Swap,
HF,"[M' U L' : [S' , L2']]",M' U L' S' L2' S L' U' M,4-Mover,
HG,"[L' , U S' U']",L' U S' U' L U S U',S-Insert,
HJ,"[R2 : [E' , R' U' R]]",R2 E' R' U' R E R' U R',E-Swap,
HK,"[M' : [M' , U' L U]]",M2 U' L U M U' L' U M,M-Swap,
HL,"[E , L' U L]",E L' U L E' L' U' L,E-Swap,
HM,"[R F : [R2' , E']]",R F R2' E' R2 E F' R',4-Mover,
HN,"[u' L : [S' , L2']]",u' L S' L2' S L u,4-Mover,
HO,"[R' F : [R2 , E']]",R' F R2 E' R2 E F' R,4-Mover,
HP,"[l' U' L' : [E' , L2]]",l' U' L' E' L2 E L' U l,4-Mover,
HQ,"[U' L U , M']",U' L U M' U' L' U M,M-Swap,
HS,"[U' M : [U , L S L']]",U' M U L S L' U' L S' L' M' U,U-Swap,
HT,"[E' , R' U' R]",E' R' U' R E R' U R,E-Swap,
HU,"[l' U : [S' , L2]]",l' U S' L2 S L2 U' l,4-Mover,
HV,"[u' R' : [E , R2]]",u' R' E R2 E' R' u,4-Mover,
HW,"[M : [U' L U , M2']]",M U' L U M2' U' L' U M,M-Swap,
HX,"[u L' : [E , L2]]",u L' E L2 E' L' u',4-Mover,
JA,"[R' U : [S , R2]]",R' U S R2 S' R2 U' R,4-Mover,
