Name,Description,Alg,Category,Notes
TO,"[S U L' : [E , L2]]",S U L' E L2 E' L' U' S',4-Mover,
TP,"[R' U' R , E]",R' U' R E R' U R E',E-Swap,
TQ,"[M , U' R' U]",M U' R' U M' U' R U,M-Swap,
TR,"[R U' R' : [E' , R2]]",R U' R' E' R2 E R' U R',4-Mover,
TS,"[U2 : [M , U R' U']]",U2 M U R' U' M' U R U,M-Swap,
TU,"[U R' U : [M' , U2]]",U R' U M' U2 M U R U',4-Mover,
TV,U R U R U' R' U' R' U' R,U R U R U' R' U' R' U' R,Alg,
TW,"[M2' , U' R' U]",M2' U' R' U M2 U' R U,M-Swap,
TX,"[U L' : [E , L2]]",U L' E L2 E' L' U',4-Mover,
UA,"[M' , U2]",M' U2 M U2,4-Mover,
UB,"[L F' : [L' S' L , F2']]",L F' L' S' L F2' L' S L F' L',F-Swap,
UD,"[R' F : [R S R' , F2]]",R' F R S R' F2 R S' R' F R,F-Swap,
UE,"[L' F' : [E' , L2]]",L' F' E' L2 E L2 F L,4-Mover,
UF,"[U R' F' : [R S R' , F']]",U R' F' R S R' F' R S' R' F2 R U',F-Swap,
UG,"[L F' : [E' , L2']]",L F' E' L2' E L2 F L',4-Mover,
UH,"[l' U : [L2 , S']]",l' U L2 S' L2 S U' l,4-Mover,
UJ,"[U R U' : [M' , U2]]",U R U' M' U2 M U' R' U',4-Mover,
UL,"[U' D R : [E , R2']]",U' D R E R2' E' R D' U,4-Mover,
UM,"[R F : [E , R2']]",R F E R2' E' R2 F' R',4-Mover,
UN,"[r U' : [R2' , S]]",r U' R2' S R2 S' U r',4-Mover,
UO,"[R' F : [E , R2]]",R' F E R2 E' R2 F' R,4-Mover,
UP,"[U' L F : [L' S' L , F]]",U' L F L' S' L F L' S L F2 L' U,F-Swap,
UQ,"[U : [R' F' R , S]]",U R' F' R S R' F R S' U',S-Swap,
UR,"[U' L U : [M' , U2']]",U' L U M' U2' M U L' U,4-Mover,
US,"[D' : [S' , R F R']]",D' S' R F R' S R F' R' D,S-Swap,
UT,"[U R' U' : [M' , U2]]",U R' U' M' U2 M U' R U',4-Mover,
UV,"[R' F : [R S' R' , F2]]",R' F R S' R' F2 R S R' F R,F-Swap,
UW,u2 M' u2 M',u2 M' u2 M',Alg,
UX,"[L F' : [L' S L , F2']]",L F' L' S L F2' L' S' L F' L',F-Swap,
VA,"[U : [S , R2']]",U S R2' S' R2 U',4-Mover,
VB,"[R U R' : [S , R2]]",R U R' S R2 S' R' U' R',4-Mover,
VD,R' U' R U R U R U R U' R' U',R' U' R U R U R U R U' R' U',Alg,
VE,"[L2 : [S , L' F' L]]",L2 S L' F' L S' L' F L',S-Swap,
VF,"[U' E' R' : [E' , R2]]",U' E' R' E' R2 E R' E U,4-Mover,
VG,"[S , L' F' L]",S L' F' L S' L' F L,S-Swap,
VH,"[u' R : [E , R2']]",u' R E R2' E' R u,4-Mover,
VJ,U2 R U' R' U' R' U' R U R U',U2 R U' R' U' R' U' R U R U',Alg,
VK,"[U R' F' R : [S , R2']]",U R' F' R S R2' S' R F R U',4-Mover,
VL,"[U' R : [E , R2']]",U' R E R2' E' R U,4-Mover,
VM,"[S' , R' F R]",S' R' F R S R' F' R,S-Swap,
VN,"[u' R' : [E' , R2]]",u' R' E' R2 E R' u,4-Mover,
VP,"[U' E' R : [E , R2']]",U' E' R E R2' E' R E U,4-Mover,
VQ,"[r' : [U' R' U , M']]",r' U' R' U M' U' R U M r,M-Swap,
VR,"[U' R' : [E' , R2]]",U' R' E' R2 E R' U,4-Mover,
VS,"[U L B' L : [S , L2']]",U L B' L S L2' S' L B L' U',4-Mover,
VT,R' U R U R U R' U' R' U',R' U R U R U R' U' R' U',Alg,
VU,"[R' F' : [R S' R' , F2]]",R' F' R S' R' F2 R S R' F' R,F-Swap,
VW,"[D' R' F : [R S' R' , F2]]",D' R' F R S' R' F2 R S R' F R D,F-Swap,
VX,"[U' : [S' , R2']]",U' S' R2' S R2 U,4-Mover,
WA,"[U2 , M]",U2 M U2 M',4-Mover,
WB,"[R : [U' R' U , M2']]",R U' R' U M2' U' R U M2 R',M-Swap,
WD,"[l' M' : [U L U' , M2']]",l' M' U L U' M2' U L' U' M' l,M-Swap,
WE,"[l' : [U' L U , M2']]",l' U' L U M2' U' L' U M2 l,M-Swap,
WF,"[M' : [U' L' U , M2']]",M' U' L' U M2' U' L U M',M-Swap,
WG,"[U : [L B' L' , S']]",U L B' L' S' L B L' S U',S-Swap,
WH,"[M' : [U' L U , M2']]",M' U' L U M2' U' L' U M',M-Swap,
WJ,"[U' R U , M2']",U' R U M2' U' R' U M2,M-Swap,
WK,"[D : [S' , R F R']]",D S' R F R' S R F' R' D',S-Swap,
WL,"[U L' U' , M2']",U L' U' M2' U L U' M2,M-Swap,
WM,"[r : [U R' U' , M2']]",r U R' U' M2' U R U' M2 r',M-Swap,
WN,"[M' : [U R' U' , M2']]",M' U R' U' M2' U R U' M',M-Swap,
WO,"[U' : [R' B R , S]]",U' R' B R S R' B' R S' U,S-Swap,
WP,"[M' : [U R U' , M2']]",M' U R U' M2' U R' U' M',M-Swap,
WQ,"[U : [R B R' , S]]",U R B R' S R B' R' S' U',S-Swap,
WR,"[U L U' , M2']",U L U' M2' U L' U' M2,M-Swap,
WT,"[U' R' U , M2']",U' R' U M2' U' R U M2,M-Swap,
WU,M' U2 M' U2 M2',M' U2 M' U2 M2',Alg,
WV,"[D' R' F' : [R S' R' , F2]]",D' R' F' R S' R' F2 R S R' F' R D,F-Swap,
WX,"[D L F : [L' S L , F2']]",D L F L' S L F2' L' S' L F L' D',F-Swap,
XA,"[U' : [S' , L2]]",U' S' L2 S L2 U,4-Mover,
XB,L U L' U' L' U' L' U L U,L U L' U' L' U' L' U L U,Alg,
XD,"[L' U' L : [S' , L2]]",L' U' L S' L2 S L U L,4-Mover,
XE,"[S , L F' L']",S L F' L' S' L F L',S-Swap,
XF,"[U E L' : [E' , L2]]",U E L' E' L2 E L' E' U',4-Mover,
XH,"[u L : [E , L2']]",u L E L2' E' L u',4-Mover,
XJ,"[U L' : [E' , L2]]",U L' E' L2 E L' U',4-Mover,
XK,"[U' L F L' : [S' , L2]]",U' L F L' S' L2 S L' F' L' U,4-Mover,
XL,U2' L' U L U L U L' U' L' U,U2' L' U L U L U L' U' L' U,Alg,
XM,"[R2' : [S' , R F R']]",R2' S' R F R' S R F' R,S-Swap,
XN,"[u L' : [E' , L2]]",u L' E' L2 E L' u',4-Mover,
XO,"[S' , R F R']",S' R F R' S R F' R',S-Swap,
XP,"[U E L : [E , L2']]",U E L E L2' E' L E' U',4-Mover,
XQ,"[l : [U L U' , M']]",l U L U' M' U L' U' M l',M-Swap,
XR,L U' L' U' L' U' L U L U,L U' L' U' L' U' L U L U,Alg,
XS,"[U' R' B R' : [S' , R2]]",U' R' B R' S' R2 S R' B' R U,4-Mover,
XT,"[U L : [E , L2']]",U L E L2' E' L U',4-Mover,
XU,"[L F : [L' S L , F2']]",L F L' S L F2' L' S' L F L',F-Swap,
XV,"[U' : [R2' , S']]",U' R2' S' R2 S U,4-Mover,
XW,"[D L F' : [L' S L , F2']]",D L F' L' S L F2' L' S' L F' L' D',F-Swap,
