Pair,Description,Alg,Memo,Category,Notes
SA,"[U D' : [R D R' , U2]]",U D' R D R' U2 R D' R' U2 D U',SA,U2-swap,
SB,"[D' : [R D R' , U']]",D' R D R' U' R D' R' U D,Seb,U'-swap,
SD,"[D : [U' , R' D R]]",D U' R' D R U R' D' R D',Sid,U'-swap,
SE,"[D U R' : [R' D R , U']]",D U R2 D R U' R' D' R U R U' D',Seer,U'-swap,
SF,"[F , l U2 l']",F l U2 l' F' l U2 l',Sofa,F-swap,
SG,"[U D2 : [R U' R' , D']]",U D2 R U' R' D' R U R' D' U',Stig,D'-swap,
SI,"[D R' D : [F2 , D' R D R']]",D R' D F2 D' R D R' F2 R D2,Sis,F2-swap,
SK,"[U : [D2 , R U' R']]",U D2 R U' R' D2 R U R' U',Sick,D2-swap,
SL,"[D' R D : [R' U' R , D2]]",D' R D R' U' R D2 R' U R D R' D,Sail,D2-swap,
SN,"[U' R' U : [R D' R' , U2]]",U' R' U R D' R' U2 R D R' U R U,Sun,U2-swap,
SO,"[U' : [D' , R' U' R]]",U' D' R' U' R D R' U R U,Spool,D'-swap,
SP,"[U R' D' : [D' , R U' R']]",U R' D2 R U' R' D R U R' D R U',Sap,D'-swap,
SQ,"[D R' U : [R U' R' , D]]",D R' U R U' R' D R U R' D' U' R D',Satchel,D-swap,
SR,"[U' R' U2 : [R D' R' , U]]",U' R' U2 R D' R' U R D R' U R U,Sour,U-swap,
ST,"[D2' R' : [F' , R D' R' D]]",D2' R' F' R D' R' D F D' R D',Sit,F'-swap,
SU,"[U' D' R' D' : [U' , R D R']]",U' D' R' D' U' R D R' U R D' R' D R D U,Suit,U'-swap,
SV,"[U' D' R' : [R' D R , U]]",U' D' R2 D R U R' D' R U' R D U,Seven,U-swap,
SW,"[U R : [D2 , R U' R']]",U R D2 R U' R' D2 R U R2 U',Sew,D2-swap,
TA,"[U D : [R D' R' , U2]]",U D R D' R' U2 R D R' U2 D' U',Tat,U2-swap,
TB,"[D : [R D' R' , U']]",D R D' R' U' R D R' U D',Tub,U'-swap,
TD,"[D' : [U' , R' D' R]]",D' U' R' D' R U R' D R D,Todd,U'-swap,
TE,"[R U2 : [R' D' R , U']]",R U2 R' D' R U' R' D R U' R',Tee,U'-swap,
TF,"[D' R' U' : [R U R' , D']]",D' R' U' R U R' D' R U' R' D U R D,Tiff,D'-swap,
TG,"[R' D R2 : [U , R' D' R]]",R' D R2 U R' D' R U' R' D R' D' R,Tag,U-swap,
TH,"[D' : [R U R' , D']]",D' R U R' D' R U' R' D2,Teeth,D'-swap,
TI,"[R U' : [R' D' R , U2]]",R U' R' D' R U2 R' D R U' R',Tits,U2-swap,
TK,"[R U R' U' : [R U R' , D']]",R U R' U' R U R' D' R U' R' D U R U' R',Tik Tok,D'-swap,
TL,"[D' : [R U R' , D2]]",D' R U R' D2 R U' R' D',Tool,D2-swap,
TN,"[R' F' R D' U' : [R' D R , U2]]",R' F' R D' U' R' D R U2 R' D' R U' D R' F R,Toon,U2-swap,
TP,"[D' , R U R']",D' R U R' D R U' R',Tap,D'-swap,
TQ,"[R U' : [D , R' U R]]",R U' D R' U R D' R' U' R U R',Teacher,D-swap,
TR,"[D' R' : [D , R' U R]]",D' R' D R' U R D' R' U' R2 D,Tear,D-swap,
TS,"[D R' D : [F' , D' R D R']]",D R' D F' D' R D R' F R D2,Tess,F'-swap,
TU,"[D' R : [R D' R' , U']]",D' R2 D' R' U' R D R' U R' D,Tutu,U'-swap,
TV,"[D' R D : [U , R' D' R]]",D' R D U R' D' R U' R' D R D' R' D,Tavern,U-swap,
TX,"[R U' D : [R' U R , D2]]",R U' D R' U R D2 R' U' R D U R',Trash,D2-swap,
UA,"[R F' R' U : [R D R' , U2]]",R F' R' U R D R' U2 R D' R' U R F R',Umbrella,U2-swap,
UB,"[R F' : [D , R' U' R]]",R F' D R' U' R D' R' U R F R',Uber,D-swap,
UD,"[U' : [F2' , U R' U' R]]",U' F2' U R' U' R F2 R' U R,Udder,F2-swap,
UE,"[D' R : [U , R D' R']]",D' R U R D' R' U' R D R2 D,Ute,U-swap,
UF,"[U' R' U : [D , R U' R']]",U' R' U D R U' R' D' R U R' U' R U,Ufo,D-swap,
UH,"[D R U' R' : [U2 , R' D R]]",D R U' R' U2 R' D R U2 R' D' R2 U R' D',Utah Jazz,U2-swap,
UI,"[R D U' : [R' D' R , U2]]",R D U' R' D' R U2 R' D R U' D' R',Uzi,U2-swap,
UK,"[R : [F2 , R' U R U']]",R F2 R' U R U' F2 U R' U',Uke,F2-swap,
UN,"[U' R' : [U2 , R' D R]]",U' R' U2 R' D R U2 R' D' R2 U,UN,U2-swap,
UO,"[U' R' : [U , R' D R]]",U' R' U R' D R U' R' D' R2 U,Uno,U-swap,
UP,"[R D : [R' D' R , U]]",R D R' D' R U R' D R U' D' R',Up,U-swap,
UQ,"[D' R U' : [D' , R' U R]]",D' R U' D' R' U R D R' U' R U R' D,Urchin,D'-swap,
UR,"[U' R' : [U' , R' D R]]",U' R' U' R' D R U R' D' R2 U,Uranus,U'-swap,
US,"[U' D' R' D' : [R D R' , U']]",U' D' R' D' R D R' U' R D' R' U D R D U,US,U'-swap,
UT,"[D' R : [U' , R D' R']]",D' R U' R D' R' U R D R2 D,U Turn,U'-swap,
UV,"[U' R' U R : [D , R U' R']]",U' R' U R D R U' R' D' R U R2 U' R U,Uvula,D-swap,
UW,"[U' R2' : [D , R2 U R2' U' R2]] inverse",U' R2' D R2 U R2' U' R2 D' R2 U R2 inverse,Underwear,D-swap,
UX,"[R U' D2 : [R' U R , D]]",R U' D2 R' U R D R' U' R D U R',Usher,D-swap,
VA,"[U2 , R' D R U' R D' R']",U2 R' D R U' R D' R' U2 R D R' U R' D' R,Visa,U2-swap,
VB,"[U , R' D R U' R D' R']",U R' D R U' R D' R' U' R D R' U R' D' R,Vibrator,U-swap,
VD,"[U' , R' D R U' R D' R']",U' R' D R U' R D' R' U R D R' U R' D' R,Vader,U'-swap,
VE,"[U R' D' : [R' D' R , U']]",U R' D' R' D' R U' R' D R U D R U',V,U'-swap,
VF,"[U' D' R' U : [D , R U' R']]",U' D' R' U D R U' R' D' R U R' U' R D U,Venus Flytrap,D-swap,
VG,"[U D R D' : [R' D R , U']]",U D R D' R' D R U' R' D' R U D R' D' U',Vag,U'-swap,
VH,"[R U' D R' : [U2 , R' D R]]",R U' D R' U2 R' D R U2 R' D' R2 D' U R',Vi Hart,U2-swap,
VI,"[R U' R' U D : [R D R' , U2]]",R U' R' U D R D R' U2 R D' R' U2 D' U' R U R',Vise,U2-swap,
VL,"[R U' R' : [U2 , R' D R]]",R U' R' U2 R' D R U2 R' D' R2 U R',Vial,U2-swap,
VN,"[U' D' R' : [U2 , R' D R]]",U' D' R' U2 R' D R U2 R' D' R2 D U,Van,U2-swap,
VO,"[D' R : [F2 , R' U R U']]",D' R F2 R' U R U' F2 U R' U' D,Volcano,F2-swap,
VQ,"[U R' U' : [D' , R U R']]",U R' U' D' R U R' D R U' R' U R U',Voucher,D'-swap,
VR,"[D' U' R' : [U' , R' D R]]",D' U' R' U' R' D R U R' D' R2 U D,Varys,U'-swap,
VS,"[U' D' R' : [U , R' D R]]",U' D' R' U R' D R U' R' D' R2 D U,Vase,U-swap,
VT,"[D' R D : [R' D' R , U]]",D' R D R' D' R U R' D R U' D' R' D,Vet,U-swap,
VU,"[U' R' U R : [R U' R' , D]]",U' R' U R2 U' R' D R U R' D' R' U' R U,Vacuum,D-swap,
VW,"[D R U' R' : [R' U R , D']]",D R U' R2 U R D' R' U' R D R U R' D',View,D'-swap,
VX,"[R U' R' U : [R D' R' , U2]]",R U' R' U R D' R' U2 R D R' U R U R',Vixen,U2-swap,
WA,"[R D' R' : [U2 , R' D R]]",R D' R' U2 R' D R U2 R' D' R2 D R',Waluigi,U2-swap,
WB,"[R D' R' U R' D R , U']",R D' R' U R' D R U' R' D' R U' R D R' U,Web,U'-swap,
WD,"[R D' R' : [U' , R' D R]]",R D' R' U' R' D R U R' D' R2 D R',Wade,U'-swap,
WE,"[D R : [U , R D' R']]",D R U R D' R' U' R D R2 D',Weed,U-swap,
WF,"[R U' R2' : [U , R D R']]",R U' R2' U R D R' U' R D' R U R',Wife,U-swap,
WG,"[U R2 : [U' , R' D R]]",U R2 U' R' D R U R' D' R' U',Wag,U'-swap,
WH,"[R D' R' : [U , R' D R]]",R D' R' U R' D R U' R' D' R2 D R',Whale,U-swap,
WI,"[D R : [U2 , R D' R']]",D R U2 R D' R' U2 R D R2 D',Wii,U2-swap,
WK,"[U R D' : [R' D R , U']]",U R D' R' D R U' R' D' R U D R' U',Wok,U'-swap,
WL,"[D' R2 : [R' U' R , D']]",D' R U' R D' R' U R D R2 D,Will,D'-swap,
WN,"[U R U D' : [R' D R , U2]]",U R U D' R' D R U2 R' D' R U2 D U' R' U',Wine,U2-swap,
WP,"[D' R U' R' : [U2 , R' D R]]",D' R U' R' U2 R' D R U2 R' D' R2 U R' D,Wap,U2-swap,
WQ,"[D R U' : [D' , R' U R]]",D R U' D' R' U R D R' U' R U R' D',Watch,D'-swap,
WR,"[U R2 : [U' , R' D' R]]",U R2 U' R' D' R U R' D R' U',Worm,U'-swap,
WS,"[U R2 : [U' , R' D2 R]]",U R2 U' R' D2 R U R' D2 R' U',Walrus,U'-swap,
WU,"[U' R2' : [D , R2 U R2' U' R2]]",U' R2' D R2 U R2' U' R2 D' R2 U R2,Windu,D-swap,
WV,"[D R U' R' : [D' , R' U R]]",D R U' R' D' R' U R D R' U' R2 U R' D',Wave,D'-swap,
WX,"[R U' R' : [R' U R , D']]",R U' R2 U R D' R' U' R D R U R',Welsh,D'-swap,
XA,"[R' U' D' R : [D , R U' R']]",R' U' D' R D R U' R' D' R U R2 D U R,Sheniya,D-swap,
XB,"[R' B : [R U R' , D']]",R' B R U R' D' R U' R' D B' R,Shiba,D'-swap,
XD,"[R' D' R : [D , R U' R']]",R' D' R D R U' R' D' R U R2 D R,Shed,D-swap,
XE,"[R : [U , R D' R']]",R U R D' R' U' R D R2,Sheen,U-swap,
XF,"[U' D R' U : [D , R U' R']]",U' D R' U D R U' R' D' R U R' U' R D' U,Sheaf,D-swap,
XG,"[D R : [F2 , R' U R U']]",D R F2 R' U R U' F2 U R' U' D',Shaggy,F2-swap,
XI,"[R2 U : [R' U R , D']]",R2 U R' U R D' R' U' R D U' R2,Shi,D'-swap,
XK,"[R' D' R : [D ,R U R']]",R' D' R D R U R' D' R U' R2 D R,Shark,D-swap,
XL,"[D R D : [R' D' R , U]]",D R D R' D' R U R' D R U' D' R' D',Shell,U-swap,
XN,"[D U' R' : [U2 , R' D R]]",D U' R' U2 R' D R U2 R' D' R2 U D',Shan,U2-swap,
XO,"[U D' R D' : [R' D R , U']]",U D' R D' R' D R U' R' D' R U D R' D U',Shoe,U'-swap,
XP,"[R2 : [R' U' R , D']]",R U' R D' R' U R D R2,Ship,D'-swap,
XQ,"[R U' : [D' , R' U R]]",R U' D' R' U R D R' U' R U R',Shaq,D'-swap,
XR,"[R2 U : [R' U' R , D']]",R2 U R' U' R D' R' U R D U' R2,Sharon,D'-swap,
XT,"[R U' D' : [R' U R , D2]]",R U' D' R' U R D2 R' U' R D' U R',Shit,D2-swap,
XU,"[R U' D' : [R' U R , D']]",R U' D' R' U R D' R' U' R D2 U R',Shut,D'-swap,
XV,"[R U' R' U' : [R D' R' , U2]]",R U' R' U' R D' R' U2 R D R' U' R U R',Shave,U2-swap,
XW,"[R U' R' : [D' , R' U R]]",R U' R' D' R' U R D R' U' R2 U R',Shower,D'-swap,
