Name,Description,Alg,Category,Notes
IO,DT OI,D' R' D' R U' R' D R U D R D' U' R' D R U2 R' D' R U' D R',TOWY,
FT,DO TF,U' R D R' U' R D' R' U2 D' R' U' R U R' D' R U' R' D U R D,TOWY,
IS,DH SI,U' R D' R' U' R D R' U2 D R' D F2 D' R D R' F2 R D2,TOWY,
FH,DS HF,D R' D R U' R' D' R U D' U' R U' R' U R D' R' U' R D U R' U,TOWY,
GI,DL GI,D R' D' R U' R' D R U R' F2 R D' R' D F2 D' R,TOWY,
FL,DG LF,R' D R U' R' D' R U D R' U' R U R' D' R U' R' D U R D',TOWY,
KO,KO WP,U R U' R' D' R U R' D U' D' R U' R' U2 R' D R U2 R' D' R2 U R' D,WWOB,
PT,PT WK,R U R' D' R U' R' D U R D' R' D R U' R' D' R U D R' U',WWOB,
KS,KS XP,U R U' R' D2 R U R' D2 U' R U' R D' R' U R D R2,WWOB,
HP,PH XK,R U R' D2 R U' R' D2 R' D' R D R U R' D' R U' R2 D R,WWOB,
GK,KG UP,U R U' R' D R U R' D' U' R D R' D' R U R' D R U' D' R',WWOB,
LP,PL UK,R U R' D R U' R' D' R F2 R' U R U' F2 U R' U',WWOB,
OS,OS XT,U' R' U' R D' R' U R D U R U' D' R' U R D2 R' U' R D' U R',WWOB,
HT,TH XO,D' R U R' D' R U' R' D2 U D' R D' R' D R U' R' D' R U D R' D U',WWOB,
GO,OG UT,U D' R U' R' D2 R U R' D' U' D' R U' R D' R' U R D R2 D,WWOB,
HL,TL UO,D' R U R' D2 R U' R' D' U' R' U R' D R U' R' D' R2 U,WWOB,
GS,GS XL,U D R U' R' D R U R' D2 U' D R D R' D' R U R' D R U' D' R' D',WWOB,
HL,LH XG,D R U R' D R U' R' D3 R F2 R' U R U' F2 U R' U' D',WWOB,
